url,clicks_current,clicks_previous,clicks_variation_%,impressions_current,impressions_previous,impressions_variation_%,ctr_current_%,ctr_previous_%,position_current,position_previous
https://www.legrand.fr/catalogue/prise/prise-de-courant-sans-terre-neptune-16a-blanc,3,10,-70.0,111,173,-35.84,2.7,5.78,17.5,13.3
https://www.legrand.fr/pro/catalogue/bloc-de-jonction-de-passage-a-vis-viking-3-avec-2-jonctions-2-etages-section-25mm2-pas-5mm-gris,3,10,-70.0,36,57,-36.84,8.33,17.54,8.9,6.9
https://www.legrand.fr/pro/catalogue/centrale-de-mesure-multifonction-emdx3-access-sortie-rs485-et-a-implusion-montage-sur-porte-ou-plastron-96x96x60mm,3,10,-70.0,5,20,-75.0,60.0,50.0,3,4.7
https://www.legrand.fr/pro/catalogue/coffret-10pouces-lcs3-capacite-6u-352x314x300mm,3,10,-70.0,54,76,-28.95,5.56,13.16,9.8,12.8
https://www.legrand.fr/pro/catalogue/coupe-circuit-sectionneur-unipolaireneutre-pour-cartouche-cylindrique-industrielle-typeam-ou-gg-10x38mm-500v,3,10,-70.0,8,32,-75.0,37.5,31.25,2.8,12.8
https://www.legrand.fr/pro/catalogue/kit-de-codification-bus-2-fils-et-numerique-pour-kits-video-ou-audio,3,10,-70.0,4,40,-90.0,75.0,25.0,1.8,2.7
https://www.legrand.fr/pro/catalogue/lampe-a-cabler-230v-fluorescent-vert-faible-consommation-055ma,3,10,-70.0,10,50,-80.0,30.0,20.0,11.5,5.0
https://www.legrand.fr/pro/catalogue/peigne-dalimentation-universel-phase-neutre-hx3-horizontale-1p-longueur-18-modules,3,10,-70.0,183,258,-29.07,1.64,3.88,12.4,10.2
https://www.legrand.fr/pro/catalogue/pret-a-poser-connectable-celiane-creer-un-va-et-vient-sans-micromodule-avec-commande-sans-fils-blanc,3,10,-70.0,22,29,-24.14,13.64,34.48,55.4,31.7
https://www.legrand.fr/pro/catalogue/prise-fixe-p17-ip6667-63a-380v-a-415v-3pnt,3,10,-70.0,30,117,-74.36,10.0,8.55,9.3,12.1
https://www.legrand.fr/questions-frequentes/comment-acheter-une-borne-de-recharge,3,10,-70.0,1116,1454,-23.25,0.27,0.69,41.3,42.0
https://www.legrand.fr/questions-frequentes/les-produits-napparaissent-pas-dans-les-pieces-lors-de-la-configuration-a-partir-de-lapp-home-control-et-de-linstallation-guidee-des-produits-que-faire-eliot,3,10,-70.0,37,70,-47.14,8.11,14.29,16.9,20.0
https://www.legrand.fr/pro/catalogue/minuterie-modulaire-multifonction-230v-50hz-et-60hz-sortie-16a-250v-1-module,11,36,-69.44,962,811,18.62,1.14,4.44,9.3,9.8
https://www.legrand.fr/catalogue/prise/sortie-de-cable-mosaic-blanc-complet-avec-plaque-et-fixation-a-vis,4,13,-69.23,366,733,-50.07,1.09,1.77,3.8,4.2
https://www.legrand.fr/catalogue/tableau-electrique/porte-pour-coffret-drivia-1-rangee-13-modules-blanche,4,13,-69.23,113,199,-43.22,3.54,6.53,17.2,11.8
https://www.legrand.fr/pro/catalogue/fiche-mobile-droite-p17-ip44-32a-380v-a-415v-3pnt,4,13,-69.23,37,70,-47.14,10.81,18.57,23.3,6.3
https://www.legrand.fr/pro/catalogue/pret-a-poser-celiane-creer-un-va-et-vient-avec-1-commande-sans-fils-et-1-interrupteur-230v-livre-complet-blanc,4,13,-69.23,211,297,-28.96,1.9,4.38,21.1,19.0
https://www.legrand.fr/questions-frequentes,4,13,-69.23,259,461,-43.82,1.54,2.82,22.8,16.4
https://www.legrand.fr/catalogue/prise/double-prise-de-courant-avec-terre-precablee-volet-ip55-plexo-hori-gris,5,16,-68.75,560,820,-31.71,0.89,1.95,13.5,11.0
https://www.legrand.fr/catalogue/prise/prise-de-courant-sans-terre-appareillage-saillie-bornes-a-vis-blanc,5,16,-68.75,422,764,-44.76,1.18,2.09,14.8,10.0
https://www.legrand.fr/catalogue/prise/prise-de-courant-surface-mosaic-blanc-avec-plaque-et-fixation-a-vis,5,16,-68.75,914,1315,-30.49,0.55,1.22,17.3,16.5
https://www.legrand.fr/pro/catalogue/bloc-autonome-dalarme-sonore-manuel-baas-typema,5,16,-68.75,161,263,-38.78,3.11,6.08,16.1,16.5
https://www.legrand.fr/questions-frequentes/comment-brancher-une-horloge-sur-un-tableau-electrique,18,57,-68.42,1742,2385,-26.96,1.03,2.39,16.4,14.7
https://www.legrand.fr/pro/catalogue/commande-simple-pour-eclairage-et-prises-sans-fils-celiane-with-netatmo-avec-support-et-enjoliveur-blanc,6,19,-68.42,16,60,-73.33,37.5,31.67,22.4,15.7
https://www.legrand.fr/maison-connectee/les-visiophones-connectes-des-solutions-qui-vous-changent-la-vie,7,22,-68.18,881,1885,-53.26,0.79,1.17,18.1,15.0
https://www.legrand.fr/pro/catalogue/moulure-dlplus-32x125mm-1-compartiment-longueur-21m-blanc,7,22,-68.18,139,227,-38.77,5.04,9.69,8.4,5.6
https://www.legrand.fr/actualites/parafoudres-bien-se-proteger-contre-la-foudre-et-les-surtensions,16,48,-66.67,1270,1897,-33.05,1.26,2.53,20.3,17.3
https://www.legrand.fr/pro/catalogue/disjoncteur-magnetothermique-differentiel-dpx3160-pouvoir-de-coupure-16ka-400v-4p-160a,9,27,-66.67,119,199,-40.2,7.56,13.57,7.1,4.1
https://www.legrand.fr/catalogue/prise/prise-de-courant-avec-terre-etanche-avec-volet-plexo-16a-250v-livree-complete-pour-montage-en-encastre-avec-griffes-sable,5,15,-66.67,155,360,-56.94,3.23,4.17,14.0,12.4
https://www.legrand.fr/pro/catalogue/boite-monoposte-batibox-pour-cloisons-seches-1-poste-ou-2-modules-profondeur-40mm,5,15,-66.67,173,280,-38.21,2.89,5.36,15.5,9.4
https://www.legrand.fr/pro/catalogue/disjoncteur-differentiel-monobloc-dx36000-arrivee-haute-et-depart-bas-a-vis-4p-400v-32a-typeac-300ma,5,15,-66.67,63,103,-38.83,7.94,14.56,28.5,14.8
